fips,lgbm_mae,lgbm_rmse,lgbm_wape,actual,predicted,county_name,stateabbr,risk_tier,prophet_mae,prophet_rmse,prophet_wape,winner,wape_diff
01119,0.001983331529818555,0.001983331529818555,0.0030385029841062594,0.652733118971061,0.6507497874412425,Sumter,AL,High,0.0285951837781349,0.0285951837781349,0.0438083849999998,LightGBM,0.04076988201589354
01121,0.004676492895804851,0.004676492895804851,0.008263575514746073,0.5659163987138264,0.5612399058180215,Talladega,AL,High,0.0046899688616393,0.0046899688616393,0.0082873881589194,LightGBM,2.381264417332732e-05
01123,0.003258248812500697,0.003258248812500697,0.005660979780378307,0.5755627009646301,0.5723044521521294,Tallapoosa,AL,High,0.0121896288392425,0.0121896288392425,0.0211786288771197,LightGBM,0.015517649096741394
01125,0.01903201856107939,0.01903201856107939,0.05978745224743121,0.3183279742765273,0.2992959557154479,Tuscaloosa,AL,Moderate,0.0059967180940018,0.0059967180940018,0.0188381750225715,Prophet,-0.04094927722485971
01127,0.0013959129569192097,0.0013959129569192097,0.0027476514531764194,0.5080385852090031,0.5066426722520839,Walker,AL,High,0.0042396751999334,0.0042396751999334,0.00834518346316,LightGBM,0.005597532009983581
01129,0.0018836183550398067,0.0018836183550398067,0.0032910410585246072,0.5723472668810288,0.570463648525989,Washington,AL,High,0.0283660083987165,0.0283660083987165,0.049560834898881,LightGBM,0.04626979384035639
01131,0.00915116154801321,0.00915116154801321,0.010659218132704524,0.8585209003215435,0.8493697387735303,Wilcox,AL,Critical,0.0188450712099417,0.0188450712099417,0.0219506260160744,LightGBM,0.011291407883369875
01133,0.0010701399011191493,0.0010701399011191493,0.0017989919418813808,0.5948553054662379,0.5937851655651187,Winston,AL,High,0.0008238195977537,0.0008238195977537,0.0013849075400077,Prophet,-0.00041408440187368093
02013,0.016700599451151987,0.016700599451151987,0.049941215666425655,0.33440514469453375,0.31770454524338176,Aleutians East,AK,Moderate,0.0106388565363406,0.0106388565363406,0.0318142729115571,Prophet,-0.018126942754868557
02016,0.024989229436763433,0.024989229436763433,0.10502230209234362,0.2379421221864952,0.21295289274973175,Aleutians West,AK,Low,0.0072047068922097,0.0072047068922097,0.0302792411280706,Prophet,-0.07474306096427302
02020,0.03072056507956225,0.03072056507956225,0.15662452032366986,0.19614147909967844,0.1654209140201162,Anchorage,AK,Low,0.0210849628595874,0.0210849628595874,0.1074987450710112,Prophet,-0.049125775252658654
02050,0.0004037387426817918,0.0004037387426817918,0.0009232555071620386,0.4372990353697749,0.4368952966270931,Bethel,AK,Moderate,0.0397520159526318,0.0397520159526318,0.0909035070681508,LightGBM,0.08998025156098877
02060,0.0042625694583925955,0.0042625694583925955,0.012051446377819068,0.3536977491961414,0.3494351797377488,Bristol Bay,AK,Moderate,0.0211808572535362,0.0211808572535362,0.0598840600531797,LightGBM,0.04783261367536063
02068,0.022506277166844058,0.022506277166844058,0.11110241585537307,0.20257234726688098,0.18006607010003692,Denali,AK,Low,0.0047261426466048,0.0047261426466048,0.0233306406840334,Prophet,-0.08777177517133967
02070,2.494144121706343e-05,2.494144121706343e-05,6.205430574805383e-05,0.4019292604501607,0.40195420189137776,Dillingham,AK,Moderate,0.0149313671195513,0.0149313671195513,0.0371492413934438,LightGBM,0.03708718708769575
02090,0.040170350318444056,0.040170350318444056,0.26027039477158553,0.1543408360128617,0.11417048569441764,Fairbanks North Star,AK,Low,0.0198733250122834,0.0198733250122834,0.12876258497542,Prophet,-0.13150780979616553
02100,0.004687469686862289,0.004687469686862289,0.01388383878680164,0.33762057877813495,0.33293310909127266,Haines,AK,Moderate,0.0088202621507996,0.0088202621507996,0.0261247764657017,LightGBM,0.012240937678900058
